40,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
41,0,0,0,0,0,0,0,0,0
46,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
47,0,0,0,0,0,0,0,0,0
50,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
61,8.0,4.0,6.0,3.0,0.0,0.0,6.0,1.0,2.0
66,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
67,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
68,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
69,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
70,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
73,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
74,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
75,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
